quartos,m2_quadrado,garagem,banheiros,direto com o proprietario,preço,cidade,bairro,link
1,42,1,1,0,R$ 220.000,Natal, Areia Preta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-edificio-solar-de-areia-preta-1287759827
3,180,1,2,1,R$ 250.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-na-cidade-da-esperanca-1372316023
2,186,2,2,1,R$ 180.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-1372300616
3,NULL,NULL,2,0,R$ 180.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-panatis-codpro02-1372273025
1,43,1,1,0,R$ 260.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-terrazzo-ponta-negra-flat-1211478968
3,NULL,NULL,2,0,R$ 160.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-potengi-codpro01-1372271448
2,144,1,1,1,R$ 155.000,Natal, Felipe Camarão,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-felipe-camarao-1372263195
3,NULL,1,3,1,R$ 170.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/otima-casa-com-3-quartos-para-venda-em--cidade-1372172380
5,NULL,4,3,1,R$ 280.000,Natal, Lagoa Azul,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-construcao-na-r-havana-1372155597
2,100,2,1,0,R$ 169.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-padrao-casa-na-zona-norte-de-natal-casa-padrao-em-natal-casa-no-bairro-a-igapo-1372130761
2,65,3,2,0,R$ 219.999,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-ultima-unidade-em-ponta-negra-1293774419
2,77,1,2,0,R$ 255.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-capim-macio-1319739760
2,170,2,1,0,R$ 200.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-capim-macio-cod-rn-16-1356390791
2,NULL,2,3,1,R$ 180.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-1374323011
3,20100,4,2,1,R$ 200.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-e-troca-casa-1372000430
2,79000,2,2,1,R$ 220.000,Natal, Petrópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-nova-1371955451
3,117,2,2,0,R$ 160.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-venda-na-cidade-da-esperanca-ilm-1371928595
